"VMName","PrimaryServer","ReplicaServer","ReplicationHealth","ReplicationMode","LastReplicationTime"
"JHSDCAGRIAPP01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Critical","Replica","2/5/2025 5:43:26 PM"
"JHSDCAPDSAPP2","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:03 AM"
"JHSDCAYSHAPP01","JHSDCR30WEB01.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Warning","Replica","2/12/2025 8:58:57 AM"
"JHSDCBOREAPP01","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:46:08 AM"
"JHSDCBPMSWEB01","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:09 AM"
"JHSDCCLMSAPP01","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Critical","Replica","2/7/2025 11:37:36 AM"
"JHSDCCQBEAPP02","JHSDCR30WEB01.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:56:06 AM"
"JHSDCCTAXAPI01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:11 AM"
"JHSDCCTAXAPP01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:44 AM"
"JHSDCCTAXAPP02","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:05 AM"
"JHSDCCTAXESV01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:56:02 AM"
"JHSDCCTAXMIS01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:06 AM"
"JHSDCCTAXPOR02","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:05 AM"
"JHSDCCTAXSLB01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Warning","Replica","2/12/2025 8:53:05 AM"
"JHSDCDISHAPP01","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:09 AM"
"JHSDCDLMSAPP01","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:10 AM"
"JHSDCDLMSAPP02","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:11 AM"
"JHSDCDLMSPROX01","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:32 AM"
"JHSDCEGZTAPP01","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:46:07 AM"
"JHSDCEOFCAPP01","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:10 AM"
"JHSDCEOFCAPP02","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:10 AM"
"JHSDCICTAXAPP01","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:32 AM"
"JHSDCILMSGTW01","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Warning","Replica","2/12/2025 8:58:17 AM"
"JHSDCINFUCS01","JHSDCR04INF02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:45:42 AM"
"JHSDCIPDSAPP02","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:45:59 AM"
"JHSDCJBMSAPP01","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:10 AM"
"JHSDCJCRTAPP01","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:01 AM"
"JHSDCJDBTAPP01","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:58:02 AM"
"JHSDCJHJYAAP01","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:32 AM"
"JHSDCJHLRNKS01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:04 AM"
"JHSDCJHTEAPP01","JHSDCR04APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:00 AM"
"JHSDCJIMSAPP01","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:11 AM"
"JHSDCJIMSAPP02","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Warning","Replica","2/12/2025 8:48:10 AM"
